source,detector,type,ShortSeperation,cond,beta,se,tstat,dfe,p,q,power
2,2,hbo,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,1.04903512096544,1.77955451920581,0.589493106080061,224,0.556124626207215,0.781772637479792,0.455289210309493
2,2,hbo,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,1.50389892069935,1.79503456761945,0.837810562441592,224,0.40303014991855,0.698162464425835,0.400931346401755
2,2,hbo,0,aloc_sentences-bloc_words-cloc_jabsent+dloc_jabwords,2.7968584368359,1.78043864115686,1.57088167611247,224,0.117621577467776,0.375025319462475,0.322069618858247
2,2,hbr,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,2.36662759870858,1.63168157942132,1.45042245285867,224,0.148339560994253,0.429403992351784,0.330593763255837
2,2,hbr,0,aloc_sentences-dloc_jabwords,-2.0075210231021,0.871651232405336,-2.30312417222461,224,0.0221892476646356,0.151867363755091,0.4240114626431
2,2,hbr,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,-1.40188960740613,1.24114016252524,-1.12951755952674,224,0.259887674076982,0.555937558490385,0.360175784008528
2,2,hbr,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,-2.61315243879808,1.25329077848118,-2.08503284606057,224,0.0381992338077238,0.202820367804154,0.341116464627597
2,2,hbr,0,aloc_sentences-bloc_words-cloc_jabsent+dloc_jabwords,2.51665731433289,1.24229071402136,2.02581995174571,224,0.0439690206185981,0.217374933395316,0.319704372097882
2,3,hbo,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,-0.741753625139889,3.3467663807615,-0.221632925860548,224,0.82480156573917,0.917565919230831,0.623161099174826
2,3,hbo,0,aloc_sentences-dloc_jabwords,2.16771706283016,1.54531761691055,1.40276473852924,224,0.162071485112293,0.437493579444227,0.334295653435466
2,3,hbo,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,-0.0902082229350659,2.15284043640508,-0.0419019549287638,224,0.966614183223565,0.986798702130785,0.850475888319027
