source,detector,type,ShortSeperation,cond,beta,se,tstat,dfe,p,q,power,Contrast
10,11,hbr,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,3.87351926955291,2.9104023767458904,1.3309222465258799,156,0.18515653843132998,0.5564873579756789,0.34061873581867796,Localizer v. Not (Baseline)
10,11,hbr,0,aloc_sentences-dloc_jabwords,-0.365038085256548,1.5623718903438701,-0.233643531039338,156,0.815568048803505,0.9540865052711821,0.6142517747775439,Federonko Contrast (Sent v. Wordlist)
10,11,hbr,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,2.0263422021698303,2.22528892804519,0.9105973505875841,156,0.363912426442557,0.7795050376858109,0.389153898620483,Syntactic (Sentence v. Non Sentence)
10,11,hbr,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,-2.7564183726829303,2.2442419198974197,-1.2282180224175299,156,0.221214950944044,0.614282838985114,0.350078547122663,Semantic (Words v. Non Words)
11,11,hbo,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,4.1917113831337405,3.24630306374344,1.29122614273115,156,0.198535328137029,0.580068436991667,0.344132841775164,Localizer v. Not (Baseline)
11,11,hbo,0,aloc_sentences-dloc_jabwords,0.663296892142525,1.63964558646326,0.404536747220639,156,0.6863721751449311,0.9208734547726691,0.5187702653951071,Federonko Contrast (Sent v. Wordlist)
11,11,hbo,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,1.66115601151301,2.32986010911864,0.7129853011395609,156,0.47692001126893296,0.7994752048323579,0.42518811876817303,Syntactic (Sentence v. Non Sentence)
11,11,hbo,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,-0.334562227227957,2.29757235185178,-0.14561553500515803,156,0.8844128850997479,0.9640092244581809,0.692419086754653,Semantic (Words v. Non Words)
11,11,hbr,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,-0.155714235320766,1.62946379685193,-0.0955616415790274,156,0.9239913766369731,0.9702596396806,0.7547520297465141,Localizer v. Not (Baseline)
11,11,hbr,0,aloc_sentences-dloc_jabwords,-0.741158314060235,1.00796049170724,-0.7353049253000942,156,0.46325783205617205,0.7994752048323579,0.42046736680276403,Federonko Contrast (Sent v. Wordlist)
11,11,hbr,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,3.0199742035759503,1.4519386441385502,2.07995993203124,156,0.0391647398654933,0.25802652146678,0.337969282372552,Syntactic (Sentence v. Non Sentence)
11,11,hbr,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,-4.50229083169642,1.44972836207863,-3.10560995388199,156,0.00225602993771131,0.0513779635152907,0.7275746689259979,Semantic (Words v. Non Words)
11,12,hbo,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,3.21851407255114,4.01195367192219,0.8022311162454441,156,0.423639688360945,0.790794084940431,0.407397666322441,Localizer v. Not (Baseline)
11,12,hbo,0,aloc_sentences-dloc_jabwords,-0.6307080262935489,2.49189635570851,-0.25310363524899604,156,0.8005213581881679,0.953610095385023,0.600459415432619,Federonko Contrast (Sent v. Wordlist)
11,12,hbo,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,2.7339813354083504,3.5801620783036805,0.7636473644522092,156,0.446230802908187,0.797518881793356,0.41474267199891607,Syntactic (Sentence v. Non Sentence)
11,12,hbo,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,-3.99539738799544,3.55897622654393,-1.12262547813513,156,0.263321415701366,0.682130579061421,0.361194619348775,Semantic (Words v. Non Words)
11,12,hbr,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,3.1143865138230495,1.8406541649724901,1.69199981891742,156,0.0926424842363005,0.4086412142915539,0.31504333406317797,Localizer v. Not (Baseline)
11,12,hbr,0,aloc_sentences-dloc_jabwords,1.09485907541512,1.20796149949673,0.906369181361552,156,0.36613830924799606,0.7795050376858109,0.38980713156394303,Federonko Contrast (Sent v. Wordlist)
11,12,hbr,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,0.21832290710646898,1.7462771191131201,0.12502191359945697,156,0.9006671658388771,0.965037583828772,0.715915687786442,Syntactic (Sentence v. Non Sentence)
11,12,hbr,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,1.9713952437237798,1.73535598834995,1.13601777212194,156,0.257691325270647,0.676439728835447,0.359696722927752,Semantic (Words v. Non Words)
11,13,hbo,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,5.275458483683259,3.96664858047978,1.32995358087536,156,0.18547478776723703,0.5564873579756789,0.340702480920614,Localizer v. Not (Baseline)
11,13,hbo,0,aloc_sentences-dloc_jabwords,-4.80083895101336,2.4143034508049,-1.98849856649661,156,0.0485057637555672,0.295253616009781,0.305295996608669,Federonko Contrast (Sent v. Wordlist)
11,13,hbo,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,0.74571079170276,3.4376887920624,0.21692213484379397,156,0.828552458663222,0.9540865052711821,0.6269452332328199,Syntactic (Sentence v. Non Sentence)
11,13,hbo,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,-10.3473886937295,3.46968749695558,-2.9822249706374504,156,0.0033215606908704397,0.0558022196066233,0.685270343685927,Semantic (Words v. Non Words)
11,13,hbr,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,5.587360644709821,2.12280610049678,2.63206358951119,156,0.00933948504802262,0.108209206073641,0.552932438245432,Localizer v. Not (Baseline)
11,13,hbr,0,aloc_sentences-dloc_jabwords,6.02787432246043,1.4139431497916397,4.2631659719478,156,3.4777639181837297e-05,0.00292132169127434,0.960176056944922,Federonko Contrast (Sent v. Wordlist)
11,13,hbr,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,5.46103919951172,2.02468769920655,2.6972254544006096,156,0.007760960448319641,0.0965808411346444,0.5785248061946171,Syntactic (Sentence v. Non Sentence)
11,13,hbr,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,6.59470944540914,2.0310044321841003,3.24701873659494,156,0.0014276996351381,0.0369005444158769,0.7722743744536958,Semantic (Words v. Non Words)
12,10,hbo,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,-1.16977357247702,3.00529486373603,-0.38923753758485297,156,0.6976312499227869,0.9258631303486529,0.525450723393303,Localizer v. Not (Baseline)
12,10,hbo,0,aloc_sentences-dloc_jabwords,5.97956729466558,1.4901527005777901,4.012721174378339,156,9.29193225866655e-05,0.00390261154863995,0.9339560724160141,Federonko Contrast (Sent v. Wordlist)
12,10,hbo,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,4.29285174356601,2.1262391955085,2.01898815177252,156,0.0452012013556952,0.286558559537992,0.31603165551908,Syntactic (Sentence v. Non Sentence)
12,10,hbo,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,7.666282845765151,2.16624460891354,3.5389737678839905,156,0.00052953726414971,0.0177924520754303,0.850062231428097,Semantic (Words v. Non Words)
12,10,hbr,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,0.6561011156875171,1.41907159412098,0.46234532380582793,156,0.644477898864136,0.9049052500542809,0.495827003313691,Localizer v. Not (Baseline)
12,10,hbr,0,aloc_sentences-dloc_jabwords,0.596051175402719,0.8834819434171879,0.6746614119777871,156,0.500889526152506,0.7994752048323579,0.43376834988147206,Federonko Contrast (Sent v. Wordlist)
12,10,hbr,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,1.47404573387949,1.28198051378497,1.14981914157764,156,0.251978034536385,0.6666505480647671,0.358181200905779,Syntactic (Sentence v. Non Sentence)
12,10,hbr,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,-0.28194338307404904,1.2741494701388998,-0.22127967689953398,156,0.825164048826687,0.9540865052711821,0.6235570500388671,Semantic (Words v. Non Words)
12,11,hbo,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,0.844522792343654,3.13987033658122,0.268967410056555,156,0.788310155393558,0.953610095385023,0.5899152623208721,Localizer v. Not (Baseline)
12,11,hbo,0,aloc_sentences-dloc_jabwords,4.90707925166574,1.87661605569911,2.6148552000092997,156,0.00980201954987467,0.10978261895859599,0.5461319182018,Federonko Contrast (Sent v. Wordlist)
